	Lmax	AO	PVO	AlR	RACau	CRPed	LRBo	nivel.trofico		
Apteronotus_albifrons	49.99999995	0.011670349	0.75279468	0.176626485	0.591906844	0.077307515	0.394931343	3		
Sternopygus_macrurus	141	0.010583406	0.715557019	0.106315919	0	0.178294435	0.421255681	3.2		
Brachypopomus_pinnicaudatus	18.6	0.010641181	0.717788462	0.107504206	0	0.214896632	0.351424346	3.2		
Gymnorhamphichthys_hypostomus	11.50000005	0.006104153	0.790540129	0.060072652	0	0.25645876	0.296389655	3.2		
Gymnotus_sylvius	36	0.009343363	0.727489436	0.136104672	0	0.026323424	0.54893421	3.1		
Gymnotus_inaequilabiatus	60	0.007650834	0.688048846	0.117977586	0	0.025348611	0.583177042	3.3		
Gymnotus_paraguensis	24	0.013028481	0.630837199	0.124798421	0	0.026340732	0.563892562	3.2		
Eigenmannia_trilineata	25.00000005	0.016976346	0.616154933	0.129488604	0	0.213116433	0.386262265	3.1		
Eigenmannia_virescens	35.80000005	0.017846154	0.605673759	0.118	0	0.184461538	0.513924051	3		
Pyrrhulina_australis	4.99999995	0.068807582	0.717929203	0.200382973	0.912793733	0.134670331	0.523951717	3.2		
Erythrinus_erythrinus	19.99999995	0.055182985	0.566724437	0.189308297	0.955409206	0.06035639	0.593650794	3.7		
Hoplerythrinus_unitaeniatus	25.00000005	0.054035082	0.586141268	0.194180644	1.483380802	0.077472612	0.70021691	3.4		
Hoplias_malabaricus	49.00000005	0.03297026	0.685825505	0.204662675	1.094661823	0.118959148	0.565404022	4.5		
Characidium_gomesi	6.49999995	0.053386871	0.700231194	0.183755739	1.080560896	0.141522352	0.210449103	3.1		
Characidium_zebra	6.40000005	0.044341527	0.627813071	0.186615804	2.80621451	0.154348361	0.243174025	3.2		
Characidium_lagosantense	4.09999995	0.069857209	0.540065422	0.220549687	2.596216137	0.137344424	0.376907033	3.1		
Parodon_nasus	12.70000005	0.039175633	0.642950483	0.19452599	2.834589698	0.122043342	0.328993298	2.3		
